Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)

   0.000000	   -2.75960913e+01	        7.45555894e+00	    3.50942307e+01	    1.62756612e-02	    0.00000000e+00	    4.85856455e+00	    2.58071874e+00	    1.62756612e-02	    0.00000000e+00	    0.00000000e+00
   0.005000	   -2.75946700e+01	        7.45597988e+00	    3.50942307e+01	    1.62801331e-02	    0.00000000e+00	    4.85856784e+00	    2.58113191e+00	    1.62801331e-02	    0.00000000e+00	    0.00000000e+00
   0.010000	   -2.75932512e+01	        7.45639859e+00	    3.50942307e+01	    1.62846137e-02	    0.00000000e+00	    4.85857143e+00	    2.58154255e+00	    1.62846137e-02	    0.00000000e+00	    0.00000000e+00
   0.015000	   -2.75918299e+01	        7.45681975e+00	    3.50942307e+01	    1.62891156e-02	    0.00000000e+00	    4.85857551e+00	    2.58195512e+00	    1.62891156e-02	    0.00000000e+00	    0.00000000e+00
   0.020000	   -2.75904070e+01	        7.45724156e+00	    3.50942307e+01	    1.62936392e-02	    0.00000000e+00	    4.85857828e+00	    2.58236965e+00	    1.62936392e-02	    0.00000000e+00	    0.00000000e+00
   0.025000	   -2.75889819e+01	        7.45766701e+00	    3.50942307e+01	    1.62981847e-02	    0.00000000e+00	    4.85858266e+00	    2.58278617e+00	    1.62981847e-02	    0.00000000e+00	    0.00000000e+00
   0.030000	   -2.75875540e+01	        7.45809465e+00	    3.50942307e+01	    1.63027524e-02	    0.00000000e+00	    4.85858720e+00	    2.58320470e+00	    1.63027524e-02	    0.00000000e+00	    0.00000000e+00
   0.035000	   -2.75861267e+01	        7.45852292e+00	    3.50942307e+01	    1.63073427e-02	    0.00000000e+00	    4.85859031e+00	    2.58362528e+00	    1.63073427e-02	    0.00000000e+00	    0.00000000e+00
   0.040000	   -2.75846953e+01	        7.45895442e+00	    3.50942307e+01	    1.63119558e-02	    0.00000000e+00	    4.85859454e+00	    2.58404792e+00	    1.63119558e-02	    0.00000000e+00	    0.00000000e+00
