SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	9
Calculation started : 	12-8-2026 at 15:45:06

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)

   0.000000	   -2.98533936e+01	        5.19825646e+00	    3.50942307e+01	    3.94106260e-02	    0.00000000e+00	    4.85856457e+00	    3.00281264e-01	    3.94106260e-02	    0.00000000e+00	    0.00000000e+00
   0.005000	   -2.98523241e+01	        5.19832722e+00	    3.50942307e+01	    3.94197090e-02	    0.00000000e+00	    4.85856904e+00	    3.00338464e-01	    3.94197090e-02	    0.00000000e+00	    0.00000000e+00
   0.010000	   -2.98512572e+01	        5.19839237e+00	    3.50942307e+01	    3.94286860e-02	    0.00000000e+00	    4.85857122e+00	    3.00392463e-01	    3.94286860e-02	    0.00000000e+00	    0.00000000e+00
   0.015000	   -2.98501896e+01	        5.19846020e+00	    3.50942307e+01	    3.94377050e-02	    0.00000000e+00	    4.85857579e+00	    3.00446714e-01	    3.94377050e-02	    0.00000000e+00	    0.00000000e+00
   0.020000	   -2.98491228e+01	        5.19852648e+00	    3.50942307e+01	    3.94467667e-02	    0.00000000e+00	    4.85857849e+00	    3.00501220e-01	    3.94467667e-02	    0.00000000e+00	    0.00000000e+00
   0.025000	   -2.98480548e+01	        5.19859423e+00	    3.50942307e+01	    3.94558716e-02	    0.00000000e+00	    4.85858238e+00	    3.00555985e-01	    3.94558716e-02	    0.00000000e+00	    0.00000000e+00
   0.030000	   -2.98469871e+01	        5.19866314e+00	    3.50942307e+01	    3.94650203e-02	    0.00000000e+00	    4.85858711e+00	    3.00611012e-01	    3.94650203e-02	    0.00000000e+00	    0.00000000e+00
   0.035000	   -2.98459189e+01	        5.19873141e+00	    3.50942307e+01	    3.94742133e-02	    0.00000000e+00	    4.85859090e+00	    3.00666297e-01	    3.94742133e-02	    0.00000000e+00	    0.00000000e+00
   0.040000	   -2.98448498e+01	        5.19879897e+00	    3.50942307e+01	    3.94834515e-02	    0.00000000e+00	    4.85859366e+00	    3.00721860e-01	    3.94834515e-02	    0.00000000e+00	    0.00000000e+00
   0.045000	   -2.98437808e+01	        5.19886814e+00	    3.50942307e+01	    3.94927353e-02	    0.00000000e+00	    4.85859769e+00	    3.00777715e-01	    3.94927353e-02	    0.00000000e+00	    0.00000000e+00
   0.050000	   -2.98427116e+01	        5.19893885e+00	    3.50942307e+01	    3.95020654e-02	    0.00000000e+00	    4.85860296e+00	    3.00833820e-01	    3.95020654e-02	    0.00000000e+00	    0.00000000e+00
   0.055000	   -2.98416420e+01	        5.19900697e+00	    3.50942307e+01	    3.95114426e-02	    0.00000000e+00	    4.85860531e+00	    3.00890215e-01	    3.95114426e-02	    0.00000000e+00	    0.00000000e+00
   0.060000	   -2.98405726e+01	        5.19907832e+00	    3.50942307e+01	    3.95208674e-02	    0.00000000e+00	    4.85861055e+00	    3.00946905e-01	    3.95208674e-02	    0.00000000e+00	    0.00000000e+00
   0.065000	   -2.98395020e+01	        5.19914808e+00	    3.50942307e+01	    3.95303407e-02	    0.00000000e+00	    4.85861387e+00	    3.01003867e-01	    3.95303407e-02	    0.00000000e+00	    0.00000000e+00
