
SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	8
Calculation started : 	12-8-2026 at 15:43:09

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)

   0.000000	   -2.87017530e+01	        6.34989651e+00	    3.50942307e+01	    2.77080646e-02	    0.00000000e+00	    4.85856391e+00	    1.46362454e+00	    2.77080646e-02	    0.00000000e+00	    0.00000000e+00
   0.005000	   -2.87004904e+01	        6.35015985e+00	    3.50942307e+01	    2.77146824e-02	    0.00000000e+00	    4.85856830e+00	    1.46387687e+00	    2.77146824e-02	    0.00000000e+00	    0.00000000e+00
   0.010000	   -2.86992323e+01	        6.35041663e+00	    3.50942307e+01	    2.77212880e-02	    0.00000000e+00	    4.85857134e+00	    1.46412399e+00	    2.77212880e-02	    0.00000000e+00	    0.00000000e+00
   0.015000	   -2.86979739e+01	        6.35067539e+00	    3.50942307e+01	    2.77279248e-02	    0.00000000e+00	    4.85857518e+00	    1.46437228e+00	    2.77279248e-02	    0.00000000e+00	    0.00000000e+00
   0.020000	   -2.86967143e+01	        6.35093556e+00	    3.50942307e+01	    2.77345932e-02	    0.00000000e+00	    4.85857922e+00	    1.46462174e+00	    2.77345932e-02	    0.00000000e+00	    0.00000000e+00
   0.025000	   -2.86954533e+01	        6.35119598e+00	    3.50942307e+01	    2.77412936e-02	    0.00000000e+00	    4.85858228e+00	    1.46487241e+00	    2.77412936e-02	    0.00000000e+00	    0.00000000e+00
   0.030000	   -2.86941908e+01	        6.35145814e+00	    3.50942307e+01	    2.77480265e-02	    0.00000000e+00	    4.85858585e+00	    1.46512426e+00	    2.77480265e-02	    0.00000000e+00	    0.00000000e+00
   0.035000	   -2.86929271e+01	        6.35172155e+00	    3.50942307e+01	    2.77547923e-02	    0.00000000e+00	    4.85858941e+00	    1.46537735e+00	    2.77547923e-02	    0.00000000e+00	    0.00000000e+00
   0.040000	   -2.86916620e+01	        6.35198790e+00	    3.50942307e+01	    2.77615915e-02	    0.00000000e+00	    4.85859464e+00	    1.46563167e+00	    2.77615915e-02	    0.00000000e+00	    0.00000000e+00
   0.045000	   -2.86903954e+01	        6.35225449e+00	    3.50942307e+01	    2.77684245e-02	    0.00000000e+00	    4.85859881e+00	    1.46588725e+00	    2.77684245e-02	    0.00000000e+00	    0.00000000e+00
   0.050000	   -2.86891283e+01	        6.35252124e+00	    3.50942307e+01	    2.77752918e-02	    0.00000000e+00	    4.85860183e+00	    1.46614411e+00	    2.77752918e-02	    0.00000000e+00	    0.00000000e+00
   0.055000	   -2.86878596e+01	        6.35279092e+00	    3.50942307e+01	    2.77821941e-02	    0.00000000e+00	    4.85860647e+00	    1.46640226e+00	    2.77821941e-02	    0.00000000e+00	    0.00000000e+00
   0.060000	   -2.86865892e+01	        6.35306040e+00	    3.50942307e+01	    2.77891316e-02	    0.00000000e+00	    4.85860956e+00	    1.46666171e+00	    2.77891316e-02	    0.00000000e+00	    0.00000000e+00
   0.065000	   -2.86853175e+01	        6.35333215e+00	    3.50942307e+01	    2.77961051e-02	    0.00000000e+00	    4.85861354e+00	    1.46692251e+00	    2.77961051e-02	    0.00000000e+00	    0.00000000e+00
   0.070000	   -2.86840447e+01	        6.35360557e+00	    3.50942307e+01	    2.78031151e-02	    0.00000000e+00	    4.85861780e+00	    1.46718465e+00	    2.78031151e-02	    0.00000000e+00	    0.00000000e+00
   0.075000	   -2.86827698e+01	        6.35387967e+00	    3.50942307e+01	    2.78101620e-02	    0.00000000e+00	    4.85862135e+00	    1.46744816e+00	    2.78101620e-02	    0.00000000e+00	    0.00000000e+00
   0.080000	   -2.86814943e+01	        6.35415632e+00	    3.50942307e+01	    2.78172466e-02	    0.00000000e+00	    4.85862600e+00	    1.46771307e+00	    2.78172466e-02	    0.00000000e+00	    0.00000000e+00
   0.085000	   -2.86802167e+01	        6.35443274e+00	    3.50942307e+01	    2.78243693e-02	    0.00000000e+00	    4.85862898e+00	    1.46797938e+00	    2.78243693e-02	    0.00000000e+00	    0.00000000e+00
   0.090000	   -2.86789379e+01	        6.35471176e+00	    3.50942307e+01	    2.78315308e-02	    0.00000000e+00	    4.85863310e+00	    1.46824714e+00	    2.78315308e-02	    0.00000000e+00	    0.00000000e+00
   0.095000	   -2.86776575e+01	        6.35499242e+00	    3.50942307e+01	    2.78387319e-02	    0.00000000e+00	    4.85863734e+00	    1.46851635e+00	    2.78387319e-02	    0.00000000e+00	    0.00000000e+00
   0.100000	   -2.86763751e+01	        6.35527368e+00	    3.50942307e+01	    2.78459730e-02	    0.00000000e+00	    4.85864066e+00	    1.46878705e+00	    2.78459730e-02	    0.00000000e+00	    0.00000000e+00
   0.105000	   -2.86750917e+01	        6.35555722e+00	    3.50942307e+01	    2.78532549e-02	    0.00000000e+00	    4.85864473e+00	    1.46905924e+00	    2.78532549e-02	    0.00000000e+00	    0.00000000e+00
   0.110000	   -2.86738067e+01	        6.35584152e+00	    3.50942307e+01	    2.78605784e-02	    0.00000000e+00	    4.85864797e+00	    1.46933297e+00	    2.78605784e-02	    0.00000000e+00	    0.00000000e+00
   0.115000	   -2.86725208e+01	        6.35613002e+00	    3.50942307e+01	    2.78679442e-02	    0.00000000e+00	    4.85865381e+00	    1.46960826e+00	    2.78679442e-02	    0.00000000e+00	    0.00000000e+00
   0.120000	   -2.86712318e+01	        6.35641832e+00	    3.50942307e+01	    2.78753530e-02	    0.00000000e+00	    4.85865784e+00	    1.46988512e+00	    2.78753530e-02	    0.00000000e+00	    0.00000000e+00
   0.125000	   -2.86699419e+01	        6.35670761e+00	    3.50942307e+01	    2.78828057e-02	    0.00000000e+00	    4.85866120e+00	    1.47016361e+00	    2.78828057e-02	    0.00000000e+00	    0.00000000e+00
   0.130000	   -2.86686501e+01	        6.35699959e+00	    3.50942307e+01	    2.78903031e-02	    0.00000000e+00	    4.85866556e+00	    1.47044373e+00	    2.78903031e-02	    0.00000000e+00	    0.00000000e+00
   0.135000	   -2.86673570e+01	        6.35729275e+00	    3.50942307e+01	    2.78978461e-02	    0.00000000e+00	    4.85866939e+00	    1.47072552e+00	    2.78978461e-02	    0.00000000e+00	    0.00000000e+00
   0.140000	   -2.86660616e+01	        6.35758773e+00	    3.50942307e+01	    2.79054356e-02	    0.00000000e+00	    4.85867328e+00	    1.47100901e+00	    2.79054356e-02	    0.00000000e+00	    0.00000000e+00
   0.145000	   -2.86647645e+01	        6.35788520e+00	    3.50942307e+01	    2.79130728e-02	    0.00000000e+00	    4.85867787e+00	    1.47129425e+00	    2.79130728e-02	    0.00000000e+00	    0.00000000e+00
   0.150000	   -2.86634658e+01	        6.35818422e+00	    3.50942307e+01	    2.79207585e-02	    0.00000000e+00	    4.85868221e+00	    1.47158125e+00	    2.79207585e-02	    0.00000000e+00	    0.00000000e+00
   0.155000	   -2.86621652e+01	        6.35848450e+00	    3.50942307e+01	    2.79284940e-02	    0.00000000e+00	    4.85868595e+00	    1.47187006e+00	    2.79284940e-02	    0.00000000e+00	    0.00000000e+00
   0.160000	   -2.86608626e+01	        6.35878716e+00	    3.50942307e+01	    2.79362804e-02	    0.00000000e+00	    4.85869016e+00	    1.47216072e+00	    2.79362804e-02	    0.00000000e+00	    0.00000000e+00
   0.165000	   -2.86595578e+01	        6.35909216e+00	    3.50942307e+01	    2.79441191e-02	    0.00000000e+00	    4.85869476e+00	    1.47245327e+00	    2.79441191e-02	    0.00000000e+00	    0.00000000e+00
   0.170000	   -2.86582512e+01	        6.35939828e+00	    3.50942307e+01	    2.79520114e-02	    0.00000000e+00	    4.85869849e+00	    1.47274777e+00	    2.79520114e-02	    0.00000000e+00	    0.00000000e+00
   0.175000	   -2.86569425e+01	        6.35970691e+00	    3.50942307e+01	    2.79599588e-02	    0.00000000e+00	    4.85870270e+00	    1.47304425e+00	    2.79599588e-02	    0.00000000e+00	    0.00000000e+00
   0.180000	   -2.86556316e+01	        6.36001828e+00	    3.50942307e+01	    2.79679631e-02	    0.00000000e+00	    4.85870755e+00	    1.47334278e+00	    2.79679631e-02	    0.00000000e+00	    0.00000000e+00
   0.185000	   -2.86543187e+01	        6.36033107e+00	    3.50942307e+01	    2.79760260e-02	    0.00000000e+00	    4.85871164e+00	    1.47364340e+00	    2.79760260e-02	    0.00000000e+00	    0.00000000e+00
   0.190000	   -2.86530032e+01	        6.36064616e+00	    3.50942307e+01	    2.79841495e-02	    0.00000000e+00	    4.85871581e+00	    1.47394620e+00	    2.79841495e-02	    0.00000000e+00	    0.00000000e+00
   0.195000	   -2.86516851e+01	        6.36096347e+00	    3.50942307e+01	    2.79923358e-02	    0.00000000e+00	    4.85871990e+00	    1.47425124e+00	    2.79923358e-02	    0.00000000e+00	    0.00000000e+00
   0.200000	   -2.86503658e+01	        6.36128444e+00	    3.50942307e+01	    2.80005874e-02	    0.00000000e+00	    4.85872527e+00	    1.47455859e+00	    2.80005874e-02	    0.00000000e+00	    0.00000000e+00
   0.205000	   -2.86490428e+01	        6.36160570e+00	    3.50942307e+01	    2.80089072e-02	    0.00000000e+00	    4.85872845e+00	    1.47486835e+00	    2.80089072e-02	    0.00000000e+00	    0.00000000e+00
   0.210000	   -2.86477174e+01	        6.36193284e+00	    3.50942307e+01	    2.80172982e-02	    0.00000000e+00	    4.85873491e+00	    1.47518062e+00	    2.80172982e-02	    0.00000000e+00	    0.00000000e+00
   0.215000	   -2.86463896e+01	        6.36226057e+00	    3.50942307e+01	    2.80257640e-02	    0.00000000e+00	    4.85873927e+00	    1.47549554e+00	    2.80257640e-02	    0.00000000e+00	    0.00000000e+00
   0.220000	   -2.86450583e+01	        6.36259075e+00	    3.50942307e+01	    2.80343086e-02	    0.00000000e+00	    4.85874323e+00	    1.47581322e+00	    2.80343086e-02	    0.00000000e+00	    0.00000000e+00
   0.225000	   -2.86437243e+01	        6.36292534e+00	    3.50942307e+01	    2.80429368e-02	    0.00000000e+00	    4.85874859e+00	    1.47613381e+00	    2.80429368e-02	    0.00000000e+00	    0.00000000e+00
   0.230000	   -2.86423865e+01	        6.36326271e+00	    3.50942307e+01	    2.80516540e-02	    0.00000000e+00	    4.85875354e+00	    1.47645752e+00	    2.80516540e-02	    0.00000000e+00	    0.00000000e+00
   0.235000	   -2.86410454e+01	        6.36360379e+00	    3.50942307e+01	    2.80604663e-02	    0.00000000e+00	    4.85875881e+00	    1.47678452e+00	    2.80604663e-02	    0.00000000e+00	    0.00000000e+00
   0.240000	   -2.86397007e+01	        6.36394926e+00	    3.50942307e+01	    2.80693811e-02	    0.00000000e+00	    4.85876480e+00	    1.47711508e+00	    2.80693811e-02	    0.00000000e+00	    0.00000000e+00
   0.245000	   -2.86383519e+01	        6.36429856e+00	    3.50942307e+01	    2.80784069e-02	    0.00000000e+00	    4.85877068e+00	    1.47744947e+00	    2.80784069e-02	    0.00000000e+00	    0.00000000e+00
